feature,importance
house_area,1.3321991041957285e20
post1,1.2955943775530018e20
year_built,1.1327612126466898e20
money_kyoueki,6.672789328981061e19
addr1_2,4.254628325818613e19
lat,2.018212041167418e19
madori_kind_all,1.908217018756454e19
el,1.6275416151693283e19
lon,1.6193604264945603e19
nl,1.5946373708162707e19
floor_count,1.4852873555342787e19
parking_money,1.028859695717085e19
walk_distance2,1.0076305314022076e19
unit_area,7.44051116430957e18
snapshot_land_area,5.59989102718065e18
walk_distance1,4.624121302737748e18
target_year,4.40877541135011e18
room_floor,4.084342527869233e18
basement_floor_count,3.976240268339839e18
bus_time1,3.875978043902132e18
land_toshi,2.6646633343174574e18
land_youto,2.4076954674834094e18
post2,2.3177847888968417e18
addr1_1,2.3087596438370826e18
room_kaisuu,2.0605265228598694e18
building_structure,1.8603807251016364e18
bus_time2,1.6813962666442752e18
genkyo_code,1.1118216042680156e18
building_land_area,1.0229165636406913e18
school_ele_distance,1.0139346706911724e18
house_kanrinin,9.159801665413448e17
money_shuuzen,8.4620124020085e17
unit_area_max,8.335708244309005e17
super_distance,7.769029038788227e17
madori_number_all,6.835272632895187e17
reform_wet_area_date,6.236321343759974e17
reform_interior_date,4.467791296749459e17
school_jun_distance,3.799573284041086e17
land_kenpei,3.268305965764226e17
drugstore_distance,2.8966980043914176e17
building_status,2.3235506568639283e17
unit_count,1.9318103118848547e17
convenience_distance,1.1330366714622771e17
total_floor_area,1.0173173282356155e17
parking_number,8.960133320915899e16
unit_id,8.787563396115115e16
management_form,7.8606399825423e16
money_rimawari_now,7.42422341638335e16
hospital_distance,6.760726667949944e16
land_youseki,6.492973395922125e16
land_road_cond,6.135439952899822e16
bank_distance,4.056493317108531e16
dwelling_unit_window_angle,3.930256676294929e16
floor_plan_code,3.099286661793929e16
building_area_kind,2.7109100564600148e16
room_count,2.5033433064756564e16
unit_area_min,2.4528766533369856e16
building_id,2.4270332624546476e16
park_distance,1.884463394140979e16
parking_money_tax,1.4905833608795478e16
snapshot_window_angle,1.4187166752746154e16
empty_number,1.3958799762478422e16
land_setback,1.3533700363561642e16
bukken_id,1.0418633240302934e16
land_chisei,7945400303135403.0
target_month,7438700104734037.0
management_association_flg,7117500259674795.0
land_area_all,6417433475328683.0
building_type,0.0
building_area,0.0
building_land_chimoku,0.0
land_area_kind,0.0
land_setback_flg,0.0
reform_exterior_date,0.0
reform_common_area_date,0.0
balcony_area,0.0
reform_date,0.0
bukken_type,0.0
flg_investment,0.0
traffic_car,0.0
snapshot_land_shidou,0.0
land_shidou_a,0.0
land_shidou_b,0.0
land_mochibun_a,0.0
land_mochibun_b,0.0
flg_new,0.0
money_kyoueki_tax,0.0
money_shuuzenkikin,0.0
money_sonota1,0.0
money_sonota2,0.0
money_sonota3,0.0
parking_kubun,0.0
parking_distance,0.0
parking_keiyaku,0.0
usable_status,0.0
usable_date,0.0
shopping_street_distance,0.0
est_other_distance,0.0
building_name_ruby,0.0
reform_exterior,0.0
name_ruby,0.0
school_ele_code,0.0
school_jun_code,0.0
money_hoshou_company,0.0
free_rent_duration,0.0
free_rent_gen_timing,0.0
