feature,importance
house_area,1.3320023408167862e20
post1,1.2979275738975271e20
year_built,1.1332817413584522e20
money_kyoueki,6.672773449234268e19
addr1_2,4.254817962869706e19
lat,2.008422989001008e19
madori_kind_all,1.9068108621045826e19
el,1.6350678280244474e19
lon,1.61367939723122e19
nl,1.5951244278743695e19
floor_count,1.4833387754366872e19
parking_money,1.0270623456055788e19
walk_distance2,1.0065890353336723e19
unit_area,7.417511131255669e18
snapshot_land_area,5.619210985868536e18
walk_distance1,4.664064668241756e18
target_year,4.40971857686255e18
room_floor,4.0381098971564605e18
basement_floor_count,3.971124400723329e18
bus_time1,3.8995008134885755e18
land_toshi,2.6633928697484846e18
land_youto,2.4036387656456387e18
post2,2.3380711911040835e18
addr1_1,2.307510910728886e18
room_kaisuu,2.0928578222621545e18
building_structure,1.860009162470064e18
bus_time2,1.6799171672385347e18
genkyo_code,1.113972269770954e18
building_land_area,1.0163336296851483e18
school_ele_distance,9.613343386452188e17
house_kanrinin,8.854765700707779e17
unit_area_max,8.622329239664503e17
money_shuuzen,8.015718398911228e17
super_distance,7.380960328922344e17
madori_number_all,7.011021960923927e17
reform_wet_area_date,6.159672333761687e17
reform_interior_date,4.4908549633229894e17
school_jun_distance,3.4530019755268506e17
land_kenpei,2.930173967338919e17
drugstore_distance,2.6225219988986266e17
building_status,2.352608014723536e17
unit_count,1.7673503125519293e17
convenience_distance,1.0614339939178906e17
parking_number,9.89984661022529e16
total_floor_area,9.031650002477603e16
unit_id,8.56665672824914e16
land_youseki,7.791399848395845e16
management_form,6.436690032783087e16
floor_plan_code,5.469503269336951e16
hospital_distance,4.566519967680649e16
land_road_cond,3.990003429478673e16
dwelling_unit_window_angle,3.834423357350434e16
bank_distance,3.3292900346014376e16
target_month,2.907593287733521e16
park_distance,2.8340632686690308e16
parking_money_tax,2.740763371975475e16
unit_area_min,2.421546656482372e16
land_area_all,2.1345200050449064e16
bukken_id,1.855966715628749e16
management_association_flg,1.8054833479090176e16
room_count,1.7830732823003136e16
land_setback,1.2730599461268138e16
land_area_kind,9854299949498368.0
balcony_area,7298299771311445.0
empty_number,7287166500252331.0
parking_kubun,7148533545872043.0
building_area_kind,6615399971247445.0
building_land_chimoku,6462400351262037.0
building_type,0.0
land_chisei,0.0
land_setback_flg,0.0
bukken_type,0.0
flg_investment,0.0
snapshot_land_shidou,0.0
land_mochibun_a,0.0
land_mochibun_b,0.0
flg_new,0.0
snapshot_window_angle,0.0
money_kyoueki_tax,0.0
money_sonota1,0.0
parking_distance,0.0
usable_status,0.0
shopping_street_distance,0.0
est_other_distance,0.0
