feature,importance
house_area,1.4108716870870552e20
addr1_1_te,1.242403990383673e20
addr1_2,1.1090273044078684e20
year_built,1.0404912278613647e20
money_kyoueki,5.1704220605355835e19
addr1_1,2.6869996208347853e19
madori_kind_all,2.2844554370918035e19
floor_count,1.647776879312669e19
post1,1.3685748440700901e19
addr1_2_te,1.0132195482210927e19
unit_area,7.895760045012068e18
parking_money,7.269761304914908e18
snapshot_land_area,6.234009948053832e18
room_floor,4.809459016763703e18
lon,4.3858756299911767e18
land_youto,2.717978309550932e18
lat,2.2661827701013217e18
el,1.9358534326781215e18
room_kaisuu,1.6798941830789637e18
post2,1.616544166724327e18
building_land_area,1.5668496348888433e18
building_structure,1.5330639797453238e18
super_distance,1.4702471628214764e18
money_shuuzen,1.444722930243076e18
land_toshi_count,1.3496709041465155e18
land_toshi_te,1.3402707991360525e18
nl,1.0021905700990484e18
genkyo_code,9.728273976830636e17
land_youto_te,7.840245276650156e17
basement_floor_count,6.733063055611003e17
madori_number_all,6.342008706387585e17
house_kanrinin,6.23314035139412e17
addr1_1_count,4.3036063363847514e17
convenience_distance,4.132642987050707e17
drugstore_distance,3.851919314652584e17
building_structure_count,3.22319932443678e17
building_status,1.85580400079274e17
addr1_2_count,1.0823793432505002e17
land_youto_count,9.280510035492864e16
land_youseki,9.209886635545942e16
unit_count,8.643733316558302e16
land_kenpei,8.310133471418778e16
management_form,7.086263284653534e16
hospital_distance,6.629893338387797e16
total_floor_area,4.915036771110093e16
bank_distance,4.870690088454281e16
land_area_all,3.136703414717645e16
balcony_area,3.1136633847808e16
land_road_cond,2.5407433806097068e16
park_distance,2.4888800041063764e16
land_toshi,2.353549951159501e16
floor_plan_code,2.334789999298697e16
dwelling_unit_window_angle,2.320056722443469e16
usable_status,1.3320033614692352e16
room_count,1.274830009523678e16
building_land_chimoku_count,8701266586763264.0
building_land_chimoku,5652733159800832.0
management_association_flg,4286199836093098.5
empty_number,0.0
snapshot_land_shidou,0.0
snapshot_window_angle,0.0
money_shuuzenkikin,0.0
money_sonota_sum,0.0
parking_keiyaku,0.0
shopping_street_distance,0.0
est_other_distance,0.0
building_type,0.0
land_chisei,0.0
flg_investment,0.0
flg_new,0.0
parking_kubun,0.0
bukken_type,0.0
bukken_type_te,0.0
bukken_type_count,0.0
building_status_count,0.0
building_type_count,0.0
land_chisei_count,0.0
management_form_count,0.0
flg_investment_count,0.0
flg_new_count,0.0
genkyo_code_count,0.0
usable_status_count,0.0
parking_kubun_count,0.0
