feature,importance
addr1_1_te,5.010592142651986e20
house_area,4.9307109782423e20
year_built,2.962909130248101e20
addr1_2,2.7901744872397662e20
money_kyoueki,2.4008680104580936e20
addr1_2_te,1.5337812711204445e20
unit_area,1.4573195121962815e20
building_age,1.3085165021082262e20
post1,1.2925869231948484e20
addr1_1_count,1.2814987099511613e20
madori_kind_all,1.180879565070316e20
lon,8.626404416398521e19
el,7.713879731692459e19
floor_count,7.504632984740505e19
snapshot_land_area,6.130566719639981e19
building_age_bin,5.529448739853251e19
lat,5.2759548824854135e19
nl,5.0656491533772e19
parking_money,4.5515933362078e19
post2,3.7118520043990245e19
building_age_bin_te,3.6850443598575436e19
room_floor,2.9178590578015035e19
building_land_area,2.449925981357266e19
addr1_2_count,2.1046615766263226e19
room_kaisuu,1.798660680101816e19
money_shuuzen,1.6488277222155092e19
super_distance,1.4974676320215282e19
land_youto,1.4932605324463616e19
land_youto_te,1.4478148599050928e19
basement_floor_count,1.436668823176933e19
madori_number_all,1.3516048072282647e19
total_floor_area,1.2864256809113354e19
land_toshi,1.1043423037793065e19
building_structure,1.0828770485852963e19
unit_count,1.0118894582818144e19
convenience_distance,9.061663423885824e18
floor_plan_code,8.185625431482128e18
genkyo_code,7.98185836172542e18
building_structure_count,7.281134589449339e18
land_youseki,7.281010506867933e18
drugstore_distance,7.257667475520969e18
land_kenpei,6.736829874750095e18
addr1_1,6.050728278516651e18
room_count,5.666209111570994e18
balcony_area,5.545786417297315e18
house_kanrinin,5.497877882895073e18
hospital_distance,4.994225133511334e18
land_toshi_te,4.989519790932142e18
old_and_large_flag,4.979121266213519e18
land_youto_count,4.826763551383224e18
park_distance,4.587111270554796e18
bank_distance,4.1584316867899556e18
land_area_all,3.7400893135575665e18
dwelling_unit_window_angle,3.2612073124263803e18
est_other_distance,3.2140954210402304e18
land_toshi_count,3.202929441132336e18
building_status,3.028772146352139e18
genkyo_code_count,2.935588274638422e18
land_road_cond,2.7581675868765117e18
shopping_street_distance,2.431382032504324e18
snapshot_window_angle,2.392141814109307e18
money_sonota_sum,2.345213072079061e18
parking_kubun,2.18635708182552e18
snapshot_land_shidou,2.0169566737889144e18
old_and_rural_flag,1.7791751836800123e18
land_chisei,1.748841110122616e18
empty_number,1.3210441912505684e18
management_form,1.2986556167718175e18
building_land_chimoku,1.2925262226249482e18
building_status_count,1.0113172521856532e18
flg_investment,9.020707458899423e17
usable_status,7.444111031248705e17
bukken_type,7.33112238465876e17
management_association_flg,6.739968342842409e17
usable_status_count,6.551972277219492e17
parking_kubun_count,6.523531850112041e17
building_type,5.04551578036863e17
land_chisei_count,4.853071688673962e17
building_type_count,4.6979881674386086e17
building_land_chimoku_count,4.292292620649322e17
parking_keiyaku,4.11953947434724e17
bukken_type_te,4.020114719990524e17
flg_investment_count,2.349944379244107e17
flg_new,1.9537571232996832e17
management_form_count,1.89483720748914e17
money_shuuzenkikin,1.2371786028093712e17
flg_new_count,5.506899293451059e16
old_building_flag,3.181676377005534e16
bukken_type_count,2.6409757004092756e16
