feature,importance
year_built,195834.89813122206
addr1_1_te,178882.88634933007
house_area,122714.59584284524
madori_kind_all,93141.4107899776
building_age,84866.06916730828
post1,68362.59276381916
unit_area,56556.141524011124
addr1_2_te,52582.58022083015
addr1_2,48644.292252656
money_kyoueki,43760.31664159575
lon,38347.75436828495
addr1_1_count,34346.82756382992
el,33802.403769565586
building_age_bin,28545.720561436145
lat,28454.53980990299
nl,26379.423242877783
snapshot_land_area,21864.558345355355
floor_count,21821.16831374763
post2,19656.0322601419
building_age_bin_te,13070.129022586509
parking_money,11629.479738213413
super_distance,10959.098442354743
addr1_2_count,10677.137024178945
building_land_area,10062.680441086142
land_youto,9460.821064995307
money_shuuzen,8828.393932866606
land_toshi,7996.9336611951
land_youto_te,7246.14740211408
convenience_distance,7161.143411205976
total_floor_area,6628.093411887627
unit_count,5249.80545565451
madori_number_all,5203.860960132675
genkyo_code,5099.271482924776
building_structure,5058.829578955503
drugstore_distance,4627.263464964586
balcony_area,4523.760065384214
land_area_all,4343.624520216836
floor_plan_code,4260.800337929511
land_toshi_te,4210.004093665397
room_floor,4180.586629093508
room_kaisuu,4102.616514927708
addr1_1,3957.292315800364
land_youseki,3461.603509105432
hospital_distance,3103.7463547255843
bank_distance,3094.6919267304474
land_toshi_count,3057.823160088621
park_distance,3028.8078148940886
est_other_distance,2853.2294206138076
house_kanrinin,2820.2497370758406
parking_kubun,2604.187725676146
land_kenpei,2571.910812258061
land_youto_count,2264.389401830597
dwelling_unit_window_angle,2168.075630532015
old_and_rural_flag,2008.2295549693517
land_road_cond,1886.0612121846839
snapshot_window_angle,1827.9808338313596
building_structure_count,1825.0608817307898
genkyo_code_count,1773.8550377073698
room_count,1645.225048892782
snapshot_land_shidou,1621.5538593621459
shopping_street_distance,1538.6348582187977
land_chisei,1493.7394501649155
usable_status,1471.6264186919045
management_form,1453.8145566006424
empty_number,1414.866514211831
old_and_large_flag,1384.6052056717067
building_status,1176.4901642504458
basement_floor_count,998.7740827808157
money_sonota_sum,979.6795403104722
usable_status_count,861.5443640502635
parking_kubun_count,660.292931395738
flg_investment,603.1876117407035
building_land_chimoku,591.3885119402161
management_association_flg,503.27102611990017
management_form_count,451.9514071625987
land_chisei_count,360.5100020971149
bukken_type_te,269.80412934254855
building_status_count,233.8945711820076
building_type,230.48154916396985
building_land_chimoku_count,215.87910989982387
parking_keiyaku,186.69171570551893
flg_investment_count,170.06937477303046
building_type_count,162.0468671505029
money_shuuzenkikin,73.25327878414343
flg_new,70.8960115906472
bukken_type,37.62121224403381
flg_new_count,23.42378605250269
bukken_type_count,0.38298119604587555
