feature,importance
post2,22192.333333333332
house_area,17910.333333333336
year_built,17656.0
snapshot_land_area,17115.666666666664
geo_pca_1,16978.333333333332
unit_tag_svd_0,16454.333333333336
eki_name1_le,15818.333333333336
eki_name1_count,15606.0
geo_pca_0,14710.666666666668
rosen_name1_te,14063.333333333336
super_distance,13588.666666666668
post1,13330.0
unit_area,13182.0
addr1_2_te,13089.333333333332
total_access_time1,12884.333333333334
convenience_distance,12438.666666666668
walk_time1,11871.333333333334
rosen_name1_count,11616.333333333332
building_land_area,11463.666666666668
rosen_name1_le,11323.0
money_kyoueki,11100.0
addr1_2,10586.666666666668
unit_tag_svd_1,10417.666666666668
money_shuuzen,10283.333333333334
addr1_2_count,10231.666666666668
total_floor_area,9559.0
unit_tag_svd_29,9359.0
unit_count,9331.333333333334
unit_tag_svd_5,9170.0
unit_tag_svd_24,9141.666666666666
unit_tag_svd_3,9084.666666666666
unit_tag_svd_21,9030.333333333334
unit_tag_svd_27,9025.0
unit_tag_svd_18,9006.0
unit_tag_svd_19,8975.666666666666
unit_tag_svd_26,8942.666666666668
unit_tag_svd_17,8926.666666666668
unit_tag_svd_23,8900.666666666666
unit_tag_svd_16,8900.0
unit_tag_svd_20,8873.666666666666
unit_tag_svd_22,8861.0
unit_tag_svd_13,8846.0
unit_tag_svd_4,8811.0
unit_tag_svd_14,8792.666666666666
unit_tag_svd_10,8784.0
unit_tag_svd_12,8757.0
unit_tag_svd_11,8756.333333333334
unit_tag_svd_6,8751.0
unit_tag_svd_25,8749.333333333332
unit_tag_svd_15,8707.0
unit_tag_svd_28,8662.333333333332
unit_tag_svd_7,8646.333333333334
unit_tag_svd_9,8645.0
unit_tag_svd_2,8466.666666666666
unit_tag_svd_8,8429.666666666668
drugstore_distance,8252.666666666668
walk_time2,8058.333333333334
building_tag_svd_2,7678.666666666667
total_access_time2,7496.333333333334
addr1_1_te,7248.0
eki_name2_le,7025.0
building_tag_svd_0,7012.666666666668
park_distance,6816.0
eki_name2_count,6749.0
est_other_distance,6724.666666666668
hospital_distance,6719.333333333332
land_youto,6695.666666666668
building_tag_svd_3,6651.0
building_tag_svd_13,6438.666666666666
building_tag_svd_7,6347.0
balcony_area,6300.0
building_tag_svd_8,6110.666666666667
building_tag_svd_5,6100.666666666666
building_tag_svd_6,6059.333333333333
rosen_name2_le,5998.0
building_tag_svd_11,5986.333333333333
building_tag_svd_1,5909.333333333333
bank_distance,5727.0
building_tag_svd_12,5709.0
building_tag_svd_9,5701.0
building_age_bin_te,5700.0
parking_money,5698.666666666667
rosen_name2_count,5570.0
building_tag_svd_10,5532.666666666667
building_tag_svd_4,5513.666666666667
building_tag_svd_14,5400.0
floor_count,5162.666666666667
land_youto_te,5054.666666666667
snapshot_window_angle,4883.666666666667
building_age,4663.0
land_area_all,4641.0
addr1_1_count,4517.333333333334
land_youseki,4515.666666666666
land_youto_count,4367.666666666667
parking_kubun,4023.0
floor_plan_code,3945.0
dwelling_unit_window_angle,3826.0
madori_number_all,3726.666666666666
snapshot_land_shidou,3607.0
madori_kind_all,3546.0
land_kenpei,3022.333333333333
room_floor,2992.6666666666665
room_kaisuu,2900.0
genkyo_code,2771.6666666666665
shopping_street_distance,2524.6666666666665
addr1_1,2368.3333333333335
land_toshi_te,2181.0
empty_number,2139.6666666666665
land_road_cond,2120.333333333333
room_count,2118.0
land_chisei,2110.0
money_sonota_sum,2081.3333333333335
building_structure,1871.666666666667
land_toshi,1705.0
genkyo_code_count,1536.0
old_and_large_flag,1464.0
house_kanrinin,1388.0
building_structure_count,1359.0
usable_status,1326.3333333333335
old_and_rural_flag,1245.3333333333333
flg_investment,1237.6666666666667
usable_status_count,1110.0
bukken_type_te,1094.6666666666667
management_association_flg,785.3333333333334
building_land_chimoku,768.0
management_form,752.6666666666667
building_status,698.3333333333333
parking_kubun_count,667.3333333333333
basement_floor_count,607.3333333333334
tfidf_12,496.33333333333337
land_chisei_count,491.66666666666674
tfidf_5,476.0
tfidf_13,434.0
building_land_chimoku_count,379.0
tfidf_6,371.0
tfidf_7,353.66666666666663
building_type_count,335.3333333333333
parking_keiyaku,321.33333333333337
management_form_count,313.66666666666663
tfidf_11,307.3333333333333
building_age_bin,305.0
building_type,295.3333333333333
tfidf_9,276.33333333333337
tfidf_16,274.0
tfidf_17,273.3333333333333
tfidf_4,255.33333333333337
flg_investment_count,241.0
tfidf_19,239.33333333333331
tfidf_3,214.66666666666669
tfidf_8,205.33333333333337
tfidf_15,189.0
land_toshi_count,174.0
tfidf_1,163.33333333333334
money_shuuzenkikin,160.66666666666666
tfidf_0,147.33333333333334
tfidf_2,138.66666666666666
tfidf_10,136.33333333333331
building_status_count,136.0
tfidf_14,90.66666666666666
flg_new,58.0
tfidf_18,30.0
bukken_type,15.333333333333332
flg_new_count,13.333333333333332
bukken_type_count,1.6666666666666665
